Algorithm,InputType,InputSize,AvgTimeMillis,ValidRuns
CocktailShakerSort,Reversed,10000,44.2084,10
MergeSort,Random,50000,6.4135,10
BubbleSort,PartiallySorted,10000,39.5907,10
HeapSort,Random,50000,5.9253,10
SelectionSort,Reversed,10000,54.1069,10
QuickSort,Random,50000,4.7757,10
CombSort,Random,50000,4.0052,10
IntroSort,Random,50000,3.3244,10
BubbleSort,Sorted,50000,0.0283,10
TournamentSort,Random,50000,5.4312,10
InsertionSort,Sorted,50000,0.0700,10
TimSort,Random,50000,6.6493,10
CocktailShakerSort,Random,10000,66.4633,10
SelectionSort,PartiallySorted,10000,40.1529,10
CocktailShakerSort,Sorted,50000,0.0365,10
QuickSort,Sorted,50000,1.2937,10
MergeSort,Sorted,50000,3.7769,10
CombSort,Sorted,50000,0.9859,10
IntroSort,Sorted,50000,0.9591,10
TimSort,Sorted,50000,1.7315,10
HeapSort,Sorted,50000,5.5504,10
TournamentSort,Sorted,50000,5.1845,10
MergeSort,Reversed,50000,3.0937,10
HeapSort,Reversed,50000,4.3212,10
QuickSort,Reversed,50000,2.3770,10
CombSort,Reversed,50000,1.4598,10
IntroSort,Reversed,50000,2.3508,10
TimSort,Reversed,50000,1.8326,10
TournamentSort,Reversed,50000,4.4961,10
InsertionSort,Random,50000,276.0933,10
InsertionSort,Reversed,50000,520.9025,10
InsertionSort,PartiallySorted,50000,77.2545,10
MergeSort,PartiallySorted,50000,4.4089,10
HeapSort,PartiallySorted,50000,5.5153,10
QuickSort,PartiallySorted,50000,2.9657,10
SelectionSort,Sorted,50000,856.3017,10
CombSort,PartiallySorted,50000,3.4819,10
TournamentSort,PartiallySorted,50000,5.1286,10
IntroSort,PartiallySorted,50000,2.4574,10
TimSort,PartiallySorted,50000,2.2395,10
SelectionSort,Random,50000,891.3910,10
CocktailShakerSort,PartiallySorted,50000,260.7285,10
SelectionSort,PartiallySorted,50000,873.9370,10
BubbleSort,Reversed,50000,1131.4531,10
MergeSort,Random,100000,13.8271,10
HeapSort,Random,100000,15.5254,10
QuickSort,Random,100000,8.3585,10
CombSort,Random,100000,9.8928,10
TournamentSort,Random,100000,14.2393,10
IntroSort,Random,100000,7.1230,10
TimSort,Random,100000,9.2151,10
CocktailShakerSort,Reversed,50000,1122.4665,10
BubbleSort,Sorted,100000,0.0561,10
SelectionSort,Reversed,50000,1494.5142,10
InsertionSort,Sorted,100000,0.1571,10
MergeSort,Sorted,100000,9.3680,10
BubbleSort,PartiallySorted,50000,1423.3390,10
QuickSort,Sorted,100000,3.5588,10
HeapSort,Sorted,100000,10.9767,10
CocktailShakerSort,Sorted,100000,0.2323,10
CombSort,Sorted,100000,1.8901,10
IntroSort,Sorted,100000,2.6918,10
TimSort,Sorted,100000,3.9382,10
TournamentSort,Sorted,100000,16.6952,10
InsertionSort,Random,100000,1103.2818,10
CocktailShakerSort,Random,50000,2344.5966,10
MergeSort,Reversed,100000,9.7263,10
HeapSort,Reversed,100000,12.0052,10
QuickSort,Reversed,100000,5.7464,10
CombSort,Reversed,100000,2.9933,10
TournamentSort,Reversed,100000,11.4783,10
IntroSort,Reversed,100000,5.6198,10
TimSort,Reversed,100000,6.0304,10
BubbleSort,Random,50000,3732.1773,10
SelectionSort,Random,100000,3828.0884,10
InsertionSort,Reversed,100000,2660.8656,10
MergeSort,PartiallySorted,100000,12.1582,10
SelectionSort,Sorted,100000,3721.0418,10
HeapSort,PartiallySorted,100000,13.5737,10
QuickSort,PartiallySorted,100000,6.4340,10
CombSort,PartiallySorted,100000,10.0197,10
TournamentSort,PartiallySorted,100000,13.1433,10
IntroSort,PartiallySorted,100000,5.0573,10
TimSort,PartiallySorted,100000,9.0209,10
InsertionSort,PartiallySorted,100000,302.1903,10
CocktailShakerSort,PartiallySorted,100000,1719.7785,10
CocktailShakerSort,Reversed,100000,4859.0917,10
BubbleSort,Reversed,100000,5799.6268,10
MergeSort,Random,500000,110.4450,10
HeapSort,Random,500000,133.8509,10
QuickSort,Random,500000,63.5201,10
SelectionSort,Reversed,100000,5830.3789,10
CombSort,Random,500000,54.1277,10
TournamentSort,Random,500000,238.0029,10
IntroSort,Random,500000,45.6187,10
TimSort,Random,500000,59.2297,10
BubbleSort,Sorted,500000,0.3493,10
BubbleSort,PartiallySorted,100000,5719.0896,10
InsertionSort,Sorted,500000,0.9354,10
MergeSort,Sorted,500000,48.1082,10
HeapSort,Sorted,500000,56.4102,10
QuickSort,Sorted,500000,17.4412,10
CocktailShakerSort,Sorted,500000,0.4218,10
CombSort,Sorted,500000,12.2654,10
TournamentSort,Sorted,500000,63.8551,10
IntroSort,Sorted,500000,15.7827,10
TimSort,Sorted,500000,24.0716,10
SelectionSort,PartiallySorted,100000,5041.4480,10
CocktailShakerSort,Random,100000,9283.0957,10
MergeSort,Reversed,500000,54.7204,10
HeapSort,Reversed,500000,80.3725,10
QuickSort,Reversed,500000,38.0237,10
BubbleSort,Random,100000,15466.9676,10
CombSort,Reversed,500000,22.4052,10
TournamentSort,Reversed,500000,65.2546,10
IntroSort,Reversed,500000,31.7778,10
TimSort,Reversed,500000,36.1913,10
InsertionSort,Random,500000,31653.1855,10
InsertionSort,Reversed,500000,51767.5652,10
InsertionSort,PartiallySorted,500000,7559.4487,10
MergeSort,PartiallySorted,500000,60.5732,10
HeapSort,PartiallySorted,500000,111.7529,10
QuickSort,PartiallySorted,500000,39.4012,10
SelectionSort,Sorted,500000,92039.2316,10
CombSort,PartiallySorted,500000,60.7364,10
TournamentSort,PartiallySorted,500000,183.7095,10
IntroSort,PartiallySorted,500000,45.7741,10
TimSort,PartiallySorted,500000,40.9476,10
SelectionSort,Random,500000,104189.6494,10
CocktailShakerSort,PartiallySorted,500000,30303.6950,10
BubbleSort,Reversed,500000,126843.7360,10
CocktailShakerSort,Reversed,500000,120920.5526,10
MergeSort,Random,1000000,300.2082,10
HeapSort,Random,1000000,813.5389,10
QuickSort,Random,1000000,145.1025,10
SelectionSort,PartiallySorted,500000,101462.2516,10
CombSort,Random,1000000,140.7200,10
TournamentSort,Random,1000000,1910.6743,10
IntroSort,Random,1000000,93.0687,10
TimSort,Random,1000000,154.0395,10
SelectionSort,Reversed,500000,163116.2742,10
BubbleSort,Sorted,1000000,1.2743,10
BubbleSort,PartiallySorted,500000,157454.0625,10
InsertionSort,Sorted,1000000,2.1770,10
MergeSort,Sorted,1000000,196.7132,10
HeapSort,Sorted,1000000,142.6068,10
QuickSort,Sorted,1000000,42.1877,10
CocktailShakerSort,Sorted,1000000,3.2001,10
CombSort,Sorted,1000000,75.6502,10
TournamentSort,Sorted,1000000,184.9055,10
IntroSort,Sorted,1000000,30.1539,10
TimSort,Sorted,1000000,96.3033,10
CocktailShakerSort,Random,500000,242044.2450,10
InsertionSort,Random,1000000,151235.8073,10
BubbleSort,Random,500000,366831.2552,10
MergeSort,Reversed,1000000,137.6661,10
HeapSort,Reversed,1000000,141.9274,10
QuickSort,Reversed,1000000,74.6466,10
CombSort,Reversed,1000000,104.5730,10
TournamentSort,Reversed,1000000,166.1398,10
IntroSort,Reversed,1000000,92.1742,10
TimSort,Reversed,1000000,95.7117,10
SelectionSort,Random,1000000,607601.9333,10
SelectionSort,Sorted,1000000,589021.0086,10
MergeSort,PartiallySorted,1000000,331.5465,10
HeapSort,PartiallySorted,1000000,389.7219,10
QuickSort,PartiallySorted,1000000,82.9697,10
InsertionSort,Reversed,1000000,475017.0056,10
CombSort,PartiallySorted,1000000,119.7682,10
TournamentSort,PartiallySorted,1000000,578.4052,10
IntroSort,PartiallySorted,1000000,61.9896,10
TimSort,PartiallySorted,1000000,109.1187,10
InsertionSort,PartiallySorted,1000000,50671.1406,10
BubbleSort,Reversed,1000000,680436.3537,10
CocktailShakerSort,PartiallySorted,1000000,148589.7379,10
SelectionSort,Reversed,1000000,739322.6575,10
CocktailShakerSort,Reversed,1000000,633980.0156,10
CocktailShakerSort,Random,1000000,997400.1977,10
SelectionSort,PartiallySorted,1000000,399032.7492,10
BubbleSort,PartiallySorted,1000000,531408.1435,10
BubbleSort,Random,1000000,1346576.2548,10
