Algorithm,InputType,InputSize,AvgTimeMillis,AvgMemoryMB,ValidRuns,Stable
CocktailShakerSort,Sorted,10000,0.0146,0.03,10,true
MergeSort,Sorted,10000,9.7619,0.25,10,true
CombSort,Sorted,10000,0.9498,0.05,10,false
IntroSort,Sorted,10000,1.4171,0.09,10,false
TournamentSort,Sorted,10000,3.3478,0.08,10,false
TimSort,Sorted,10000,2.4002,0.12,10,true
InsertionSort,Random,10000,48.9522,0.13,10,true
MergeSort,Reversed,10000,0.8517,0.97,10,true
HeapSort,Reversed,10000,1.8974,0.05,10,false
QuickSort,Reversed,10000,1.0622,0.01,10,false
CombSort,Reversed,10000,1.0892,0.04,10,false
IntroSort,Reversed,10000,1.5427,0.07,10,false
TournamentSort,Reversed,10000,2.6144,0.05,10,false
TimSort,Reversed,10000,1.4513,0.30,10,true
InsertionSort,Reversed,10000,43.6654,0.09,10,true
SelectionSort,Random,10000,102.7603,0.09,10,false
InsertionSort,PartiallySorted,10000,6.3412,0.21,10,true
MergeSort,PartiallySorted,10000,2.7121,0.69,10,true
HeapSort,PartiallySorted,10000,2.4724,0.08,10,false
QuickSort,PartiallySorted,10000,2.3642,0.01,10,false
SelectionSort,Sorted,10000,96.4189,0.05,10,false
CombSort,PartiallySorted,10000,1.5416,0.02,10,false
IntroSort,PartiallySorted,10000,1.6771,0.04,10,false
TournamentSort,PartiallySorted,10000,3.7724,0.05,10,false
TimSort,PartiallySorted,10000,0.9064,0.31,10,true
CocktailShakerSort,PartiallySorted,10000,20.6428,0.11,10,true
BubbleSort,Reversed,10000,96.2722,0.12,10,false
SelectionSort,PartiallySorted,10000,66.7701,0.21,10,false
SelectionSort,Reversed,10000,105.0199,1.04,10,false
CocktailShakerSort,Reversed,10000,92.7159,0.35,10,true
BubbleSort,Random,10000,167.7513,0.40,10,false
BubbleSort,PartiallySorted,10000,89.0128,1.08,10,false
QuickSort,Random,100000,14.2566,2.23,10,false
CocktailShakerSort,Random,10000,169.9362,5.29,10,true
HeapSort,Random,100000,23.0646,1.71,10,false
MergeSort,Random,100000,24.9708,1.58,10,true
BubbleSort,Sorted,100000,0.8347,0.23,10,false
CombSort,Random,100000,19.9431,1.69,10,false
InsertionSort,Sorted,100000,0.1684,0.23,10,true
IntroSort,Random,100000,19.2999,1.79,10,false
TimSort,Random,100000,30.3010,3.51,10,true
TournamentSort,Random,100000,42.1574,5.93,10,false
MergeSort,Sorted,100000,21.0120,3.23,10,true
CocktailShakerSort,Sorted,100000,0.4981,0.21,10,true
HeapSort,Sorted,100000,24.5986,4.63,10,false
QuickSort,Sorted,100000,7.9704,0.64,10,false
CombSort,Sorted,100000,8.8871,0.70,10,false
IntroSort,Sorted,100000,6.6939,1.41,10,false
TimSort,Sorted,100000,9.9417,3.50,10,true
TournamentSort,Sorted,100000,23.2498,2.95,10,false
MergeSort,Reversed,100000,7.4399,10.98,10,true
QuickSort,Reversed,100000,7.0966,0.15,10,false
HeapSort,Reversed,100000,14.3289,0.23,10,false
CombSort,Reversed,100000,2.7275,0.13,10,false
TournamentSort,Reversed,100000,8.6481,2.14,10,false
IntroSort,Reversed,100000,4.6714,0.13,10,false
TimSort,Reversed,100000,4.4266,5.12,10,true
InsertionSort,Random,100000,1217.7265,1.57,10,true
InsertionSort,Reversed,100000,2118.4991,0.97,10,true
InsertionSort,PartiallySorted,100000,299.2443,0.16,10,true
MergeSort,PartiallySorted,100000,9.4336,10.37,10,true
HeapSort,PartiallySorted,100000,11.7907,0.07,10,false
QuickSort,PartiallySorted,100000,7.1452,0.09,10,false
SelectionSort,Sorted,100000,3570.3111,0.44,10,false
CombSort,PartiallySorted,100000,7.5787,0.07,10,false
TournamentSort,PartiallySorted,100000,9.5197,2.09,10,false
IntroSort,PartiallySorted,100000,4.7959,0.09,10,false
TimSort,PartiallySorted,100000,5.7004,5.01,10,true
SelectionSort,Random,100000,3761.4946,1.83,10,false
CocktailShakerSort,PartiallySorted,100000,1167.0431,0.87,10,true
BubbleSort,Reversed,100000,4473.4207,1.42,10,false
MergeSort,Random,500000,75.6962,48.37,10,true
HeapSort,Random,500000,102.5957,0.05,10,false
SelectionSort,PartiallySorted,100000,3862.6010,1.58,10,false
QuickSort,Random,500000,56.9265,0.18,10,false
CombSort,Random,500000,56.0873,0.04,10,false
CocktailShakerSort,Reversed,100000,5074.5783,1.76,10,true
IntroSort,Random,500000,42.8747,0.04,10,false
TimSort,Random,500000,53.3583,24.84,10,true
TournamentSort,Random,500000,143.0068,14.19,10,false
BubbleSort,Sorted,500000,0.5290,0.01,10,false
SelectionSort,Reversed,100000,5638.2437,2.57,10,false
InsertionSort,Sorted,500000,1.0984,0.01,10,true
MergeSort,Sorted,500000,36.9270,53.91,10,true
HeapSort,Sorted,500000,54.0537,0.08,10,false
QuickSort,Sorted,500000,18.9200,0.02,10,false
CocktailShakerSort,Sorted,500000,0.7264,0.00,10,true
CombSort,Sorted,500000,11.8076,0.01,10,false
TournamentSort,Sorted,500000,54.2376,6.07,10,false
IntroSort,Sorted,500000,10.6043,0.01,10,false
TimSort,Sorted,500000,15.2026,28.57,10,true
BubbleSort,PartiallySorted,100000,6054.9551,3.71,10,false
CocktailShakerSort,Random,100000,9276.8389,4.79,10,true
MergeSort,Reversed,500000,43.2446,55.29,10,true
HeapSort,Reversed,500000,56.7426,0.48,10,false
QuickSort,Reversed,500000,31.6893,0.51,10,false
BubbleSort,Random,100000,13707.3636,5.54,10,false
CombSort,Reversed,500000,27.2721,0.36,10,false
TournamentSort,Reversed,500000,68.5710,6.44,10,false
IntroSort,Reversed,500000,30.5655,0.48,10,false
TimSort,Reversed,500000,33.6615,29.66,10,true
InsertionSort,Random,500000,29556.4191,5.52,10,true
InsertionSort,Reversed,500000,52843.3714,4.08,10,true
InsertionSort,PartiallySorted,500000,7216.9516,0.91,10,true
MergeSort,PartiallySorted,500000,50.8338,54.94,10,true
HeapSort,PartiallySorted,500000,105.3708,0.02,10,false
QuickSort,PartiallySorted,500000,38.4887,0.02,10,false
SelectionSort,Sorted,500000,92374.3745,4.59,10,false
CombSort,PartiallySorted,500000,68.0825,0.01,10,false
TournamentSort,PartiallySorted,500000,252.6065,6.04,10,false
IntroSort,PartiallySorted,500000,43.7705,0.01,10,false
